1454032854	00 00 0f 44 2f 3b ec a1 c3	00 00 0f 44 2f 3c d5 51 c3	59568
1454032856	00 00 0f 46 2f 47 5e 31 c3	00 00 0f 46 2f 48 15 91 c3	46944
1454032858	00 00 0f 48 2f 51 70 8f c3	00 00 0f 48 2f 52 21 07 c3	45176
1454032860	00 00 0f 4a 2f 5d c8 8f c3	00 00 0f 4a 2f 5e 7b 07 c3	45688
1454032862	00 00 0f 4c 2f 6a 2f 0f c3	00 00 0f 4c 2f 6a de 37 c3	44840
1454032864	00 00 0f 4e 2f 75 49 57 c3	00 00 0f 4e 2f 76 01 6f c3	47128
1454032866	00 00 0f 50 2f 80 b2 1f c3	00 00 0f 50 2f 81 70 0f c3	48624
1454032868	00 00 0f 52 2f 8a 74 77 c3	00 00 0f 52 2f 8b 3c 37 c3	51136
1454032870	00 00 0f 54 2f 94 06 8f c3	00 00 0f 54 2f 94 c6 27 c3	49048
1454032872	00 00 0f 56 2f a1 39 d9 c3	00 00 0f 56 2f a1 ed c1 c3	46056
1454032874	00 00 0f 58 2f ab 51 49 c3	00 00 0f 58 2f ac 09 81 c3	47160
1454032876	00 00 0f 5a 2f b8 21 d9 c3	00 00 0f 5a 2f b8 d0 61 c3	44680
1454032878	00 00 0f 5c 2f c0 ec 12 c3	00 00 0f 5c 2f c1 93 e2 c3	42960
1454032880	00 00 0f 5e 2f cc d3 aa c3	00 00 0f 5e 2f cd 82 c2 c3	44824
1454032882	00 00 0f 60 2f d8 c8 c3 c3	00 00 0f 60 2f d9 7f 33 c3	46704
1454032884	00 00 0f 62 2f e4 7d f3 c3	00 00 0f 62 2f e5 39 4b c3	47960
1454032886	00 00 0f 64 2f f0 fa 21 c3	00 00 0f 64 2f f1 b2 f9 c3	47320
1454032888	00 00 0f 66 2f f9 ee 09 c3	00 00 0f 66 2f fa ab f9 c3	48624
1454032890	00 00 0f 68 30 04 a3 99 c3	00 00 0f 68 30 05 69 b9 c3	50720
1454032892	00 00 0f 6a 30 11 d5 59 c3	00 00 0f 6a 30 12 8b 39 c3	46560
1454032894	00 00 0f 6c 30 1a b8 89 c3	00 00 0f 6c 30 1b 68 41 c3	44984
1454032896	00 00 0f 6e 30 26 7d 09 c3	00 00 0f 6e 30 27 3f 89 c3	49792
1454032898	00 00 0f 70 30 30 97 81 c3	00 00 0f 70 30 31 4a 81 c3	45824
1454032900	00 00 0f 72 30 3b a8 a1 c3	00 00 0f 72 30 3c 68 09 c3	49000
1454032902	00 00 0f 74 30 48 08 f1 c3	00 00 0f 74 30 48 c8 01 c3	48912
1454032904	00 00 0f 76 30 51 f6 f9 c3	00 00 0f 76 30 52 b4 01 c3	48392
1454032906	00 00 0f 78 30 5f 02 f2 c3	00 00 0f 78 30 5f c2 aa c3	49080
1454032908	00 00 0f 7a 30 67 c4 ea c3	00 00 0f 7a 30 68 79 22 c3	46136
1454032910	00 00 0f 7c 30 71 4e a1 c3	00 00 0f 7c 30 72 05 89 c3	46824
1454032912	00 00 0f 7e 30 7e 49 3b c3	00 00 0f 7e 30 7f 00 5b c3	46880
1454032914	00 00 0f 80 30 86 ff 09 c3	00 00 0f 80 30 87 c2 e9 c3	50144
1454032916	00 00 0f 82 30 93 de 21 c3	00 00 0f 82 30 94 8e 19 c3	45048
