532	5	t0	1535980141.819931544
533	5	t1	1535980141.819969422
575	6	t0	1535980141.920212241
576	6	t1	1535980141.920242477
611	7	t0	1535980142.020485961
612	7	t1	1535980142.020525266
647	8	t0	1535980142.120791112
648	8	t1	1535980142.120822834
683	9	t0	1535980142.221042273
684	9	t1	1535980142.221070583
719	10	t0	1535980142.321334047
720	10	t1	1535980142.321360899
761	11	t0	1535980142.421598932
762	11	t1	1535980142.421627432
797	12	t0	1535980142.521880398
798	12	t1	1535980142.521909908
831	13	t0	1535980142.622152495
832	13	t1	1535980142.622183704
850	14	t0	1535980142.722442333
852	14	t1	1535980142.722473881
906	15	t0	1535980142.822714089
907	15	t1	1535980142.822745311
948	16	t0	1535980142.922986432
949	16	t1	1535980142.923014980
984	17	t0	1535980143.023265208
985	17	t1	1535980143.023300148
1020	18	t0	1535980143.123547169
1021	18	t1	1535980143.123574773
1056	19	t0	1535980143.223820322
1057	19	t1	1535980143.223855853
1092	20	t0	1535980143.324094133
1093	20	t1	1535980143.324122764
1136	21	t0	1535980143.424400614
1137	21	t1	1535980143.424433554
1172	22	t0	1535980143.524673955
1173	22	t1	1535980143.524702410
1208	23	t0	1535980143.624953441
1209	23	t1	1535980143.624980143
1244	24	t0	1535980143.725225121
1245	24	t1	1535980143.725253724
1286	25	t0	1535980143.825511586
1287	25	t1	1535980143.825540380
1328	26	t0	1535980143.925793232
1329	26	t1	1535980143.925821991
1365	27	t0	1535980144.026042770
1366	27	t1	1535980144.026071884
1401	28	t0	1535980144.126319671
1402	28	t1	1535980144.126355333
1437	29	t0	1535980144.226597900
1438	29	t1	1535980144.226629661
1473	30	t0	1535980144.326870574
1474	30	t1	1535980144.326899536
1514	31	t0	1535980144.427135741
1515	31	t1	1535980144.427165044
1551	32	t0	1535980144.527442881
1552	32	t1	1535980144.527470599
1587	33	t0	1535980144.627709874
1588	33	t1	1535980144.627741554
1623	34	t0	1535980144.727976971
1624	34	t1	1535980144.728004319
1664	35	t0	1535980144.828270768
1665	35	t1	1535980144.828299325
1702	36	t0	1535980144.928551409
1703	36	t1	1535980144.928580343
1744	37	t0	1535980145.028829389
1745	37	t1	1535980145.028858523
1780	38	t0	1535980145.129101006
1781	38	t1	1535980145.129136891
1816	39	t0	1535980145.229388313
1817	39	t1	1535980145.229419008
1852	40	t0	1535980145.329661631
1853	40	t1	1535980145.329689446
1890	41	t0	1535980145.429942432
1891	41	t1	1535980145.429969834
1934	42	t0	1535980145.530219667
1935	42	t1	1535980145.530251742
1970	43	t0	1535980145.630518437
1971	43	t1	1535980145.630545435
2008	44	t0	1535980145.730801248
2009	44	t1	1535980145.730829033
2044	45	t0	1535980145.831084172
2045	45	t1	1535980145.831111548
2087	46	t0	1535980145.931353745
2088	46	t1	1535980145.931382503
2128	47	t0	1535980146.031642502
2129	47	t1	1535980146.031669409
2165	48	t0	1535980146.131903272
2166	48	t1	1535980146.131940622
2201	49	t0	1535980146.232174883
2202	49	t1	1535980146.232203884
2237	50	t0	1535980146.332456714
2238	50	t1	1535980146.332485004
2273	51	t0	1535980146.432727880
2274	51	t1	1535980146.432754980
2314	52	t0	1535980146.532983733
2315	52	t1	1535980146.533012523
2351	53	t0	1535980146.633250836
2352	53	t1	1535980146.633279293
2387	54	t0	1535980146.733557168
2388	54	t1	1535980146.733584515
2423	55	t0	1535980146.833805536
2424	55	t1	1535980146.833832328
2466	56	t0	1535980146.934073603
2467	56	t1	1535980146.934102127
2509	57	t0	1535980147.034341672
2510	57	t1	1535980147.034374316
2546	58	t0	1535980147.134628937
2547	58	t1	1535980147.134657203
2582	59	t0	1535980147.234905949
2583	59	t1	1535980147.234943480
2618	60	t0	1535980147.335182418
2619	60	t1	1535980147.335209437
2656	61	t0	1535980147.435448994
2657	61	t1	1535980147.435477828
2692	62	t0	1535980147.535723559
2693	62	t1	1535980147.535752546
2734	63	t0	1535980147.635991409
2735	63	t1	1535980147.636018387
2770	64	t0	1535980147.736268105
2771	64	t1	1535980147.736295405
2806	65	t0	1535980147.836554521
2807	65	t1	1535980147.836584179
2842	66	t0	1535980147.936826164
2843	66	t1	1535980147.936859328
2885	67	t0	1535980148.037105315
2886	67	t1	1535980148.037133515
2927	68	t0	1535980148.137371071
2928	68	t1	1535980148.137399057
2963	69	t0	1535980148.237650570
2964	69	t1	1535980148.237684969
2999	70	t0	1535980148.337921738
3000	70	t1	1535980148.337951337
3035	71	t0	1535980148.438190920
3036	71	t1	1535980148.438218650
3071	72	t0	1535980148.538461454
3072	72	t1	1535980148.538495828
3113	73	t0	1535980148.638743486
3114	73	t1	1535980148.638775348
3130	74	t0	1535980148.739006305
3132	74	t1	1535980148.739034168
3181	75	t0	1535980148.839291957
3182	75	t1	1535980148.839319244
3217	76	t0	1535980148.939560414
3218	76	t1	1535980148.939589732
3259	77	t0	1535980149.039841479
3260	77	t1	1535980149.039869527
3299	78	t0	1535980149.140111028
3300	78	t1	1535980149.140140516
3335	79	t0	1535980149.240387193
3336	79	t1	1535980149.240419881
3370	80	t0	1535980149.340666579
3371	80	t1	1535980149.340704033
3387	81	t0	1535980149.440944693
3389	81	t1	1535980149.440973020
3401	80	t1	1535980149.446787190
3407	82	t0	1535980149.541210978
3409	82	t1	1535980149.541237594
3469	83	t0	1535980149.641490958
3470	83	t1	1535980149.641519444
3506	84	t0	1535980149.741777995
3507	84	t1	1535980149.741809716
3542	85	t0	1535980149.842050356
3543	85	t1	1535980149.842079621
3578	86	t0	1535980149.942325656
3579	86	t1	1535980149.942354994
3619	87	t0	1535980150.042598887
3620	87	t1	1535980150.042628325
3656	88	t0	1535980150.142889843
3657	88	t1	1535980150.142919403
3698	89	t0	1535980150.243157714
3699	89	t1	1535980150.243185501
3733	90	t0	1535980150.343428946
3734	90	t1	1535980150.343466614
3769	91	t0	1535980150.443708465
3770	91	t1	1535980150.443735402
3804	92	t0	1535980150.543997450
3805	92	t1	1535980150.544028656
3839	93	t0	1535980150.644274223
3840	93	t1	1535980150.644303534
3880	94	t0	1535980150.744547922
3881	94	t1	1535980150.744580623
3916	95	t0	1535980150.844840363
3917	95	t1	1535980150.844870005
3952	96	t0	1535980150.945127638
3953	96	t1	1535980150.945158806
3987	97	t0	1535980151.045396729
3988	97	t1	1535980151.045424378
4030	98	t0	1535980151.145660725
4031	98	t1	1535980151.145690241
4071	99	t0	1535980151.245951243
4072	99	t1	1535980151.245987086
4106	100	t0	1535980151.346203673
4107	100	t1	1535980151.346242028
4143	101	t0	1535980151.446479030
4144	101	t1	1535980151.446508832
4181	102	t0	1535980151.546762561
4182	102	t1	1535980151.546790425
4220	103	t0	1535980151.647051527
4222	103	t1	1535980151.647079021
4261	104	t0	1535980151.747327372
4262	104	t1	1535980151.747355730
4296	105	t0	1535980151.847602674
4297	105	t1	1535980151.847632652
4331	106	t0	1535980151.947897094
4332	106	t1	1535980151.947925225
4366	107	t0	1535980152.048159600
4367	107	t1	1535980152.048186069
4406	108	t0	1535980152.148442361
4407	108	t1	1535980152.148471059
4448	109	t0	1535980152.248712662
4449	109	t1	1535980152.248742365
4484	110	t0	1535980152.349001154
4485	110	t1	1535980152.349027421
4518	111	t0	1535980152.449273372
4519	111	t1	1535980152.449307983
4552	112	t0	1535980152.549547364
4553	112	t1	1535980152.549576065
4587	113	t0	1535980152.649830196
4588	113	t1	1535980152.649856780
4627	114	t0	1535980152.750083124
4628	114	t1	1535980152.750112606
4662	115	t0	1535980152.850371961
4663	115	t1	1535980152.850400582
4699	116	t0	1535980152.950642407
4700	116	t1	1535980152.950671685
4736	117	t0	1535980153.050930867
4737	117	t1	1535980153.050957875
4771	118	t0	1535980153.151199422
4772	118	t1	1535980153.151235533
4813	119	t0	1535980153.251464548
4814	119	t1	1535980153.251496830
4853	120	t0	1535980153.351748093
4854	120	t1	1535980153.351779007
4889	121	t0	1535980153.452033980
4890	121	t1	1535980153.452071025
4924	122	t0	1535980153.552291203
4925	122	t1	1535980153.552319609
4958	123	t0	1535980153.652567029
4959	123	t1	1535980153.652593779
4993	124	t0	1535980153.752839179
4994	124	t1	1535980153.752866342
5034	125	t0	1535980153.853119844
5035	125	t1	1535980153.853148897
5068	126	t0	1535980153.953385190
5069	126	t1	1535980153.953412248
5103	127	t0	1535980154.053654182
5104	127	t1	1535980154.053682277
5138	128	t0	1535980154.153938673
5139	128	t1	1535980154.153967206
5180	129	t0	1535980154.254208972
5181	129	t1	1535980154.254237670
5220	130	t0	1535980154.354482563
5221	130	t1	1535980154.354511769
5256	131	t0	1535980154.454754656
5257	131	t1	1535980154.454783764
5291	132	t0	1535980154.555048091
5292	132	t1	1535980154.555078740
5328	133	t0	1535980154.655339117
5329	133	t1	1535980154.655368686
5363	134	t0	1535980154.755612328
5364	134	t1	1535980154.755639906
5403	135	t0	1535980154.855904888
5404	135	t1	1535980154.855933072
5439	136	t0	1535980154.956197854
5440	136	t1	1535980154.956245617
5473	137	t0	1535980155.056513407
